,story,set,visual_clarity,visual_creativity,narrative_clarity,narrative_creativity,overall
0,2,2,1,1,0,1,0
1,1,1,1,1,1,1,0
2,2,1,1,1,0,0,0
3,3,5,0,1,1,1,0
4,2,3,0,0,1,0,1
5,1,4,1,0,1,1,1
6,2,3,0,0,1,0,0
7,1,5,1,0,1,1,0
8,3,2,0,0,0,0,0
9,1,3,1,0,1,1,0
10,3,3,0,0,0,0,0
11,3,4,0,1,0,1,1
12,3,3,0,1,1,0,1
13,1,1,1,1,1,1,1
14,3,2,1,0,1,1,0
15,1,4,1,0,0,0,1
16,3,3,1,1,1,1,0
17,2,3,0,0,0,0,0
18,2,1,1,0,0,1,1
19,3,2,0,1,1,0,0
20,3,2,0,1,1,0,0
21,2,2,0,0,0,0,0
22,1,4,0,1,0,0,1
23,1,2,0,1,1,1,0
24,3,2,0,0,1,1,0
25,1,2,1,0,0,0,1
26,2,1,1,0,0,1,0
27,3,3,0,0,1,0,0
28,2,4,1,0,0,0,1
29,3,2,0,0,1,0,0
30,1,3,1,1,1,0,0
31,1,2,0,1,0,0,0
32,3,5,0,0,1,1,1
33,3,1,1,1,1,1,0
34,3,5,1,0,0,1,1
35,3,2,0,0,1,1,1
36,2,1,1,0,0,0,1
37,2,2,0,0,1,1,1
38,1,4,1,0,0,1,0
39,2,3,1,0,0,1,1
40,2,3,0,0,1,0,0
41,2,5,0,1,1,1,0
42,2,2,0,0,0,0,1
43,2,1,0,1,1,0,0
44,2,4,1,1,1,0,0
45,2,5,0,0,1,1,1
46,2,2,1,0,0,1,0
47,3,5,0,0,0,1,0
48,3,4,1,0,0,0,0
49,3,1,0,0,1,0,0
50,3,2,0,1,1,1,1
51,2,3,0,0,1,1,0
52,1,4,1,0,0,1,1
53,2,1,0,0,1,1,0
54,1,4,0,0,1,1,0
55,2,4,0,1,0,1,1
56,2,5,0,1,0,1,0
57,1,5,1,0,1,0,1
58,1,5,1,1,1,0,0
59,3,1,1,0,1,0,1
60,1,2,0,1,0,0,1
61,1,3,1,1,0,1,0
62,3,1,1,1,0,0,0
63,1,1,0,0,1,0,1
64,2,1,1,1,0,0,0
65,2,3,0,0,0,0,1
66,2,2,0,1,1,1,0
67,2,5,1,1,1,1,1
68,1,4,0,0,0,1,1
69,1,5,1,1,1,0,0
70,2,5,0,0,0,1,1
71,1,2,1,1,0,0,0
72,1,5,0,1,1,1,0
73,1,2,1,1,0,0,1
74,1,1,1,1,0,1,1
75,2,1,0,1,1,1,0
76,3,5,0,0,1,1,0
77,3,2,1,0,0,1,0
78,3,2,1,1,1,0,1
79,2,3,1,1,1,1,1
80,1,2,1,0,0,0,1
81,1,4,1,1,1,1,1
82,1,1,1,1,1,1,0
83,3,2,1,0,0,0,1
84,2,4,0,1,0,1,0
85,1,4,1,1,0,1,1
86,3,2,1,0,1,1,1
87,2,5,1,0,0,0,0
88,3,4,1,1,1,1,1
89,3,4,0,0,1,1,1
90,2,5,1,1,0,0,0
91,1,4,0,1,0,0,0
92,3,3,1,1,1,1,0
93,3,5,0,0,1,0,1
94,1,4,1,0,0,0,0
95,2,4,1,1,0,1,1
96,1,2,1,0,1,0,0
97,3,4,1,1,1,0,0
98,2,2,0,1,1,0,1
99,1,5,1,0,0,0,1
100,3,3,1,1,1,0,1
101,2,3,1,1,1,1,0
102,3,4,1,0,1,1,1
103,3,3,1,0,1,1,0
104,1,1,0,0,0,0,0
105,2,4,1,0,0,0,0
106,2,2,1,1,1,0,1
107,3,3,1,0,0,0,0
108,3,2,1,1,1,1,1
109,3,1,0,1,0,1,0
110,2,5,0,0,1,1,1
111,2,3,0,0,0,0,1
112,3,5,1,1,0,0,0
113,1,5,0,0,1,1,0
114,1,4,0,1,1,0,1
115,3,3,1,1,0,1,1
116,1,1,1,0,0,0,1
117,3,5,0,1,1,0,0
118,1,5,1,0,1,1,0
119,2,1,0,0,0,1,1
120,2,4,0,1,1,1,1
121,3,5,0,1,1,1,0
122,1,2,1,1,0,1,1
123,3,4,1,0,0,0,0
124,2,3,0,1,1,1,1
125,2,3,1,1,0,0,0
126,1,3,0,1,0,1,1
127,1,1,0,0,1,0,1
128,1,5,1,1,1,0,0
129,3,2,1,0,0,1,1
130,2,1,1,1,1,1,0
131,3,5,0,0,0,0,0
132,3,5,0,0,1,0,0
133,3,3,0,1,1,0,0
134,1,3,1,0,0,0,1
135,1,2,0,1,1,1,1
136,1,1,1,0,0,1,0
137,1,5,1,0,1,0,0
138,2,1,0,0,1,1,1
139,1,5,1,0,0,0,0
140,2,5,1,0,1,0,0
141,3,5,0,1,1,1,0
142,2,5,0,1,0,1,1
143,2,2,1,0,1,1,0
144,3,2,0,0,0,0,0
145,1,3,1,0,1,1,0
146,3,3,1,1,0,0,0
147,3,2,1,1,0,0,1
148,2,2,0,1,1,1,0
149,2,3,1,1,1,1,1
150,3,2,0,0,0,1,0
151,3,5,1,0,1,1,1
152,3,3,0,1,1,1,1
153,2,4,1,0,0,0,1
154,3,1,0,0,0,0,1
155,2,1,1,1,1,0,0
156,3,2,1,0,1,1,1
157,1,1,0,1,0,1,0
158,2,4,0,0,0,1,1
159,2,3,1,1,1,1,1
160,3,2,0,1,1,1,0
161,3,1,0,0,0,1,0
162,3,4,1,0,0,0,1
163,2,5,1,0,1,0,1
164,2,1,0,1,1,1,0
165,2,2,0,1,1,0,1
166,1,1,0,1,1,0,0
167,2,5,1,1,1,0,0
168,1,2,0,1,0,0,1
169,2,4,1,0,0,0,0
170,1,5,1,0,0,1,0
171,2,4,0,0,1,1,1
172,3,2,0,0,1,0,1
173,2,4,1,1,1,1,1
174,3,5,1,1,0,1,0
175,2,5,0,0,1,1,0
176,3,4,0,1,0,1,1
177,2,5,0,0,0,0,1
178,2,5,1,1,1,1,0
179,2,2,1,0,1,1,1
180,1,5,1,0,1,1,1
181,2,3,1,1,0,0,0
182,2,5,0,1,0,0,1
183,1,3,1,0,0,1,0
184,3,1,0,0,1,1,0
185,3,1,0,0,1,1,1
186,3,2,1,1,1,0,1
187,3,2,1,1,0,1,0
188,2,5,1,0,1,1,1
189,1,1,0,0,1,1,1
190,2,4,1,0,1,0,1
191,3,5,0,0,1,1,0
192,1,2,1,1,1,0,0
193,3,2,1,1,1,0,0
194,1,5,1,1,1,0,1
195,1,2,0,1,1,0,1
196,1,1,0,1,0,1,0
197,1,1,0,0,1,1,0
198,2,3,1,1,0,1,1
199,3,3,1,0,1,1,1
200,2,1,0,1,0,1,0
201,3,1,1,1,1,1,0
202,1,5,0,1,1,1,0
203,3,3,1,1,1,0,1
204,1,2,1,0,0,0,0
205,3,4,1,1,0,1,0
206,3,4,1,0,1,1,0
207,3,2,0,1,1,0,1
208,2,3,0,1,1,1,1
209,2,2,0,1,0,0,0
210,2,5,0,0,0,1,1
211,2,5,1,0,1,1,1
212,1,1,1,1,0,0,1
213,3,3,1,0,1,0,1
214,2,1,0,1,1,0,1
215,1,5,0,0,1,1,1
216,3,3,0,1,1,1,0
217,2,4,1,0,0,1,0
218,2,5,1,1,0,1,0
219,1,5,1,1,1,0,1
220,1,2,1,0,0,0,0
221,2,5,0,1,1,1,1
222,3,2,0,0,1,0,0
223,3,1,1,0,0,1,1
224,3,3,1,1,1,1,1
225,3,2,1,1,0,1,0
226,2,3,1,0,0,0,0
227,1,3,0,0,1,1,0
228,2,2,0,0,1,0,0
229,1,1,1,0,0,1,0
230,2,1,1,0,0,1,1
231,3,2,1,1,1,0,0
232,1,4,1,0,0,0,1
233,2,2,1,0,1,0,1
234,2,5,1,1,0,0,1
235,1,2,1,1,0,0,1
236,2,5,1,1,0,1,0
237,1,4,0,0,1,1,0
238,1,2,1,0,0,0,0
239,2,4,0,0,0,1,0
